Nagaur,Rajasthan,India,Neemrana,Rajasthan,376,06:30,,0
Osian,Rajasthan,India,Neemrana,Rajasthan,488,09:00,,0
Jaisalmer,Rajasthan,India,Neemrana,Rajasthan,710,12:00,,0
Bhenswara,Rajasthan,India,Neemrana,Rajasthan,545,09:30,,0
Mount Abu,Rajasthan,India,Neemrana,Rajasthan,639,11:00,,0
Dungarpur,Rajasthan,India,Neemrana,Rajasthan,645,12:00,,0
Dhariyawad,Rajasthan,India,Neemrana,Rajasthan,616,11:00,,0
Khempur,Rajasthan,India,Neemrana,Rajasthan,531,09:30,,0
Chittaurgarh,Rajasthan,India,Neemrana,Rajasthan,504,09:00,,0
Bijaipur,Rajasthan,India,Neemrana,Rajasthan,491,08:30,,0
Gulbarga,Karnataka,India,Vijayapura,Karnataka,150,03:30,,1
Hospet,Karnataka,India,Vijayapura,Karnataka,203,04:00,,1
Hampi,Karnataka,India,Vijayapura,Karnataka,198,04:00,,1
Chikmagalur,Karnataka,India,Vijayapura,Karnataka,517,10:30,,0
Hassan,Karnataka,India,Vijayapura,Karnataka,499,10:00,,0
Bangalore,Karnataka,India,Vijayapura,Karnataka,524,09:30,,0
Mysore,Karnataka,India,Vijayapura,Karnataka,603,11:00,,0
Bandipur,Karnataka,India,Vijayapura,Karnataka,694,13:00,,0
Nagarhole,Karnataka,India,Vijayapura,Karnataka,676,13:00,,0
Siddhapura,Karnataka,India,Vijayapura,Karnataka,614,12:30,,0
Madikeri,Karnataka,India,Vijayapura,Karnataka,614,12:30,,0
Bandipur,Karnataka,India,Mysore,Karnataka,87,02:00,,1
Nagarhole,Karnataka,India,Mysore,Karnataka,73,02:00,,1
Siddhapura,Karnataka,India,Mysore,Karnataka,95,02:30,,1
Madikeri,Karnataka,India,Mysore,Karnataka,109,03:00,,1
Sultan Battery,Kerala,India,Mysore,Karnataka,125,03:00,,1
Meppadi,Kerala,India,Mysore,Karnataka,147,03:30,,1
Kozhikode,Kerala,India,Mysore,Karnataka,212,05:30,,1
Neeleshwar,Kerala,India,Mysore,Karnataka,222,06:00,,1
Bekal,Kerala,India,Mysore,Karnataka,230,05:30,,1
Ootacamund,Tamil Nadu,India,Mysore,Karnataka,128,03:30,,1
Coonoor,Tamil Nadu,India,Mysore,Karnataka,150,04:00,,1
Coimbatore,Tamil Nadu,India,Mysore,Karnataka,199,06:00,,1
Sultan Battery,Kerala,India,Madikeri,Karnataka,149,04:30,,1
Meppadi,Kerala,India,Madikeri,Karnataka,151,05:00,,1
Kozhikode,Kerala,India,Madikeri,Karnataka,184,06:00,,1
Bekal,Kerala,India,Madikeri,Karnataka,126,03:30,,1
Neeleshwar,Kerala,India,Madikeri,Karnataka,128,03:30,,1
Ootacamund,Tamil Nadu,India,Madikeri,Karnataka,239,06:00,,0
Coonoor,Tamil Nadu,India,Madikeri,Karnataka,250,07:00,,0
Coimbatore,Tamil Nadu,India,Madikeri,Karnataka,311,08:30,,0
Amritsar,Punjab,India,Palampur,Himachal Pradesh,236,05:30,,1
Amritsar,Punjab,India,Pragpur,Himachal Pradesh,169,04:30,,1
Amritsar,Punjab,India,Nalagarh,Himachal Pradesh,209,04:00,,1
Amritsar,Punjab,India,Patiala,Punjab,242,04:30,,1
Amritsar,Punjab,India,Kalka,Himachal Pradesh,245,05:00,,1
Dalhousie,Himachal Pradesh,India,Pathankot,Punjab,80,02:30,,1
Dharamsala,Himachal Pradesh,India,Pathankot,Punjab,88,03:00,,1
Pathankot,Punjab,India,Palampur,Himachal Pradesh,120,03:30,,1
Palampur,Himachal Pradesh,India,Pathankot,Punjab,120,03:30,,1
Pathankot,Punjab,India,Pragpur,Himachal Pradesh,125,03:00,,1
Pragpur,Himachal Pradesh,India,Pathankot,Punjab,125,03:00,,1
Dalhousie,Himachal Pradesh,India,Palampur,Himachal Pradesh,148,04:30,,1
Dalhousie,Himachal Pradesh,India,Pragpur,Himachal Pradesh,151,04:30,,1
Dalhousie,Himachal Pradesh,India,Nalagarh,Himachal Pradesh,260,06:30,,0
Dalhousie,Himachal Pradesh,India,Patiala,Punjab,342,07:00,,0
Dharamsala,Himachal Pradesh,India,Palampur,Himachal Pradesh,43,02:00,,1
Dharamsala,Himachal Pradesh,India,Pragpur,Himachal Pradesh,66,02:00,,1
Dharamsala,Himachal Pradesh,India,Nalagarh,Himachal Pradesh,192,05:00,,1
Dharamsala,Himachal Pradesh,India,Patiala,Punjab,274,06:30,,1
Palampur,Himachal Pradesh,India,Pragpur,Himachal Pradesh,85,02:30,,1
Pragpur,Himachal Pradesh,India,Palampur,Himachal Pradesh,85,02:30,,1
Palampur,Himachal Pradesh,India,Nalagarh,Himachal Pradesh,209,05:30,,1
Nalagarh,Himachal Pradesh,India,Palampur,Himachal Pradesh,209,05:30,,1
Palampur,Himachal Pradesh,India,Patiala,Punjab,293,07:00,,1
Patiala,Punjab,India,Palampur,Himachal Pradesh,293,07:00,,1
Palampur,Himachal Pradesh,India,Kalka,Himachal Pradesh,243,06:30,,1
Kalka,Himachal Pradesh,India,Palampur,Himachal Pradesh,243,06:30,,1
Mashobra,Himachal Pradesh,India,Palampur,Himachal Pradesh,225,07:30,,1
Manali,Himachal Pradesh,India,Palampur,Himachal Pradesh,185,06:30,,1
Pragpur,Himachal Pradesh,India,Nalagarh,Himachal Pradesh,127,03:00,,1
Nalagarh,Himachal Pradesh,India,Pragpur,Himachal Pradesh,127,03:00,,1
Pragpur,Himachal Pradesh,India,Patiala,Punjab,226,05:00,,1
Patiala,Punjab,India,Pragpur,Himachal Pradesh,226,05:00,,1
Pragpur,Himachal Pradesh,India,Kalka,Himachal Pradesh,161,04:30,,1
Kalka,Himachal Pradesh,India,Pragpur,Himachal Pradesh,161,04:30,,1
Mashobra,Himachal Pradesh,India,Pragpur,Himachal Pradesh,206,06:30,,1
Manali,Himachal Pradesh,India,Pragpur,Himachal Pradesh,244,08:00,,0
Chandigarh,Chandigarh,India,Palampur,Himachal Pradesh,256,06:00,,1
Chandigarh,Chandigarh,India,Pragpur,Himachal Pradesh,173,04:00,,1
Chandigarh,Chandigarh,India,Nalagarh,Himachal Pradesh,49,01:30,,1
Chandigarh,Chandigarh,India,Patiala,Punjab,67,01:30,,1
Chandigarh,Chandigarh,India,Kalka,Himachal Pradesh,32,01:00,,1
Nalagarh,Himachal Pradesh,India,Patiala,Punjab,103,02:30,,1
Patiala,Punjab,India,Nalagarh,Himachal Pradesh,103,02:30,,1
Nalagarh,Himachal Pradesh,India,Kalka,Himachal Pradesh,37,01:30,,1
Kalka,Himachal Pradesh,India,Nalagarh,Himachal Pradesh,37,01:30,,1
Mashobra,Himachal Pradesh,India,Nalagarh,Himachal Pradesh,104,04:00,,1
Manali,Himachal Pradesh,India,Nalagarh,Himachal Pradesh,246,08:00,,1
Patiala,Punjab,India,Kalka,Himachal Pradesh,84,02:00,,1
Kalka,Himachal Pradesh,India,Patiala,Punjab,84,02:00,,1
