state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicestransport_id,costservice_id,frompax,topax,vehicles_id,fit,costnonac,costac,parkingfee,currencies_id,masters_id,obsolete,RoadTaxPerDay,MeetAndAssist,EntryAp,SpecialGst,nett,SpecialGst2,nett2,vehicle
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from International airport to hotel,7116,2890,98,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37652,7116,1,2,42,0,0,1458,0,13,,,,350,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to International airport,7117,2890,379,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37653,7117,5,9,3,0,,2106,500,13,,,0,350,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to International airport,7117,2890,379,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37654,7117,10,18,14,0,0,3564,500,13,,,0,350,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to International airport,7117,2890,379,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37655,7117,3,4,40,0,0,1586,0,13,,,0,350,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to International airport,7117,2890,379,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37656,7117,1,2,42,0,0,1458,0,13,,,0,350,0,,0,,0,Standard Car
Goa,Goa,Vailankanni Auto Hires,Transfer from airport to hotel,6854,142,270,2019-10-01T00:00:00,"Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan - airport transfer standard car Rs 2,000/-; innova: Rs 2,500/-  ",0,,,,139,142,37253,6854,1,4,40,0,0,1800,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from hotel to airport,6855,142,271,2019-10-01T00:00:00,"Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan - airport transfer standard car Rs 2,000/-; innova: Rs 2,500/-  ",0,,,,139,144,37254,6855,1,4,40,0,0,1800,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from hotel to Margao railway station,6856,142,614,2019-10-01T00:00:00,Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan  ,0,0,0,0,139,588,37255,6856,1,4,40,0,0,1600,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from Margao railway station to hotel,6857,142,613,2019-10-01T00:00:00,Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan  ,0,0,0,0,139,589,37256,6857,1,4,40,0,0,1800,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from Thivim railway station to hotel,6858,142,773,2019-10-01T00:00:00,Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan  ,0,0,0,0,139,695,37257,6858,1,4,40,0,0,1600,0,13,,,,0,,,0,,0,Toyota Innova
