state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesentrancefees_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Kerala,Kochi,Travelcart India Pvt Ltd,Half-day city tour of Fort Cochin,7310,2300,00:00.0,2019-10-01T00:00:00,,,0,0,0,87,1087,2984,7310,1,35,100,0,,13,4,,0
Kerala,Munnar,Travelcart India Pvt Ltd,Excursion to Eravikulam National Park and the Tea Museum in Munnar,7335,2300,00:00.0,2019-10-01T00:00:00,,,0,0,0,290,1260,2986,7335,1,10,700,0,,13,2,,0
Kerala,Kovalam,Travelcart India Pvt Ltd,Full-day excursion to Kanyakumari and Padmanabhaupuram,7326,2300,00:00.0,2019-10-01T00:00:00,,,,0,0,233,,2985,7326,1,35,600,0,,13,2,,0
Ladakh,Leh,Rimo Expeditions,"Full-day excursion to Shey, Thiksey and Hemis",7021,199,00:00.0,2019-10-01T00:00:00,,,0,0,0,169,585,2883,7021,1,35,100,0,Hemis monastery,13,4,,0
Ladakh,Leh,Rimo Expeditions,"Full-day excursion to Shey, Thiksey and Hemis",7021,199,00:00.0,2019-10-01T00:00:00,,,0,0,0,169,585,2884,7021,1,35,30,0,Thiksey Monastery,13,4,,0
Ladakh,Leh,Rimo Expeditions,"Full-day excursion to Shey, Thiksey and Hemis",7021,199,00:00.0,2019-10-01T00:00:00,,,0,0,0,169,585,2885,7021,1,35,20,0,Shey Monastery,13,4,,0
Ladakh,Leh,Rimo Expeditions,Afternoon walking tour of Leh,7023,199,00:00.0,2019-10-01T00:00:00,,,,0,0,169,,2886,7023,1,35,100,0,Leh Palace,13,4,,0
Ladakh,Leh,Rimo Expeditions,Afternoon walking tour of Leh,7023,199,00:00.0,2019-10-01T00:00:00,,,,0,0,169,,2887,7023,1,35,30,0,Tsemo monastery,13,4,,0
Ladakh,Leh,Rimo Expeditions,Half-day excursion to Shey & Tikse,7024,199,00:00.0,2019-10-01T00:00:00,,,,0,0,169,,2888,7024,1,35,30,0,Tikse Monastery,13,4,,0
Ladakh,Leh,Rimo Expeditions,Half-day excursion to Shey & Tikse,7024,199,00:00.0,2019-10-01T00:00:00,,,,0,0,169,,2889,7024,1,35,20,0,Shey Monastery,13,4,,0
Ladakh,Lamayuru,Rimo Expeditions,Visit to Lamayuru monastery,7574,199,00:00.0,2020-10-01T00:00:00,,,,,,545,,3021,7574,1,35,20,0,Lamayuru Monastery,13,4,,0
Ladakh,Alchi,Rimo Expeditions,Visit to Alchi Monastery,7563,199,00:00.0,2020-10-01T00:00:00,,,0,0,0,544,1289,3019,7563,1,35,50,0,Alchi Monastery,13,4,,0
Ladakh,Hundar,Rimo Expeditions,Visit to Deskit monastery followed by a camel ride,7569,199,00:00.0,2020-10-01T00:00:00,,,,0,0,542,,3020,7569,1,35,30,0,Deskit monastery,13,4,,0
Ladakh,Leh,Rimo Expeditions,Full-day excursion to Hemis festival,7025,199,00:00.0,2019-10-01T00:00:00,,,,0,0,169,,2890,7025,1,35,100,0,Hemis Monastery,13,4,,0
Ladakh,Hundar,Rimo Expeditions,Visit to Deskit monastery followed by a camel ride,7035,199,00:00.0,2019-10-01T00:00:00,,,,0,0,542,,2892,7035,1,35,30,0,Deskit monastery,13,4,,0
Ladakh,Lamayuru,Rimo Expeditions,Visit to Lamayuru monastery,7041,199,00:00.0,2019-10-01T00:00:00,,,,,,545,,2894,7041,1,35,20,0,Lamayuru Monastery,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half-day city tour of Mumbai,7377,2216,00:00.0,2019-10-01T00:00:00,,,0,0,0,60,1071,2999,7377,1,35,550,0,Prince of Wales Museum,13,2,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half-day city tour of Mumbai,7377,2216,00:00.0,2019-10-01T00:00:00,,,0,0,0,60,1071,3000,7377,1,35,95,0,Prince of Wales Museum,13,1,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half-day city tour of Mumbai,7377,2216,00:00.0,2019-10-01T00:00:00,,,0,0,0,60,1071,3001,7377,1,35,25,0,Mani Bhawan or Gandhi Museum,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day city tour of Mumbai (from suburban hotel),7378,2216,00:00.0,2019-10-01T00:00:00,,,0,0,0,60,1072,3002,7378,1,35,550,0,Prince of Wales Museum,13,2,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day city tour of Mumbai (from suburban hotel),7378,2216,00:00.0,2019-10-01T00:00:00,,,0,0,0,60,1072,3003,7378,1,35,95,0,Prince of Wales Museum,13,1,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day city tour of Mumbai (from suburban hotel),7378,2216,00:00.0,2019-10-01T00:00:00,,,0,0,0,60,1072,3004,7378,1,35,25,0,Mani Bhawan or Gandhi Museum,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day excursion to Elephanta (from city hotel),7379,2216,00:00.0,2019-10-01T00:00:00,,,0,0,0,60,1350,3005,7379,1,35,660,0,Elephanta Caves,13,2,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day excursion to Elephanta (from city hotel),7379,2216,00:00.0,2019-10-01T00:00:00,,,0,0,0,60,1350,3006,7379,1,35,50,0,Elephanta Caves,13,1,,0
Maharashtra,Aurangabad,JK Tours and Travels,Full-day excursion to Ajanta,6918,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2987,6918,1,35,550,0,Ajanta caves,13,2,,0
Maharashtra,Aurangabad,JK Tours and Travels,Full-day excursion to Ajanta,6918,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2988,6918,1,35,40,0,Ajanta caves,13,1,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2991,6919,1,35,220,0,Mini Taj,13,2,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2992,6919,1,35,40,0,Mini Taj,13,1,,0
