state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesguides_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Himachal Pradesh,Shimla,Summit Adventures,Morning walking tour of Shimla,7440,2144,1208,2019-10-01T00:00:00,,,,0,0,380,,4991,7440,1,2,1500,0,,13,4,,0
Himachal Pradesh,Shimla,Summit Adventures,Morning walking tour of Shimla,7440,2144,1208,2019-10-01T00:00:00,,,,0,0,380,,4992,7440,3,10,2000,0,,13,4,,0
Himachal Pradesh,Shimla,Summit Adventures,Walking tour of Shimla,6962,2144,908,2019-10-01T00:00:00,,,,,,380,,4755,6962,1,2,2200,0,,13,4,,0
Himachal Pradesh,Shimla,Summit Adventures,Walking tour of Shimla,6962,2144,908,2019-10-01T00:00:00,,,,,,380,,4756,6962,3,35,2800,0,,13,4,,0
Himachal Pradesh,Dharamsala,Summit Adventures,Half-day city tour,6955,2144,903,2019-10-01T00:00:00,,,0,0,0,112,1044,4751,6955,1,2,1200,0,,13,4,,0
Himachal Pradesh,Dharamsala,Summit Adventures,Half-day city tour,6955,2144,903,2019-10-01T00:00:00,,,0,0,0,112,1044,4752,6955,3,35,1500,0,,13,4,,0
Himachal Pradesh,Dharamsala,Summit Adventures,Full-day city tour,6956,2144,904,2019-10-01T00:00:00,,,0,0,0,112,1045,4753,6956,1,2,2000,0,,13,4,,0
Himachal Pradesh,Dharamsala,Summit Adventures,Full-day city tour,6956,2144,904,2019-10-01T00:00:00,,,0,0,0,112,1045,4754,6956,3,35,2500,0,,13,4,,0
Jammu & Kashmir,Srinagar,Rimo Expeditions,Sightseeing tour of the Moghul Gardens,7031,199,977,2019-10-01T00:00:00,,,0,0,0,390,1284,4804,7031,1,15,1650,0,,13,4,,0
Karnataka,Bangalore,Travelzone,Half-day city tour of Bangalore,6884,2664,262,2019-10-01T00:00:00,,,,0,0,58,,4735,6884,1,4,1800,0,,13,4,,0
Karnataka,Bangalore,Travelzone,Half-day city tour of Bangalore,6884,2664,262,2019-10-01T00:00:00,,,,0,0,58,,4736,6884,5,9,2200,0,,13,4,,0
Karnataka,Bangalore,Travelzone,Full day city tour of Bangalore,6885,2664,697,2019-10-01T00:00:00,,,,0,0,58,,4737,6885,1,4,2200,0,,13,4,,0
Karnataka,Bangalore,Travelzone,Full day city tour of Bangalore,6885,2664,697,2019-10-01T00:00:00,,,,0,0,58,,4738,6885,5,9,2800,0,,13,4,,0
Karnataka,Hampi,My Way Tour & Travel,Full-day sightseeing of Hampi,7155,2991,947,2019-10-01T00:00:00,,,,,,150,,4878,7155,1,2,2500,0,,13,4,,0
Karnataka,Hampi,My Way Tour & Travel,Full-day sightseeing of Hampi,7155,2991,947,2019-10-01T00:00:00,,,,,,150,,4879,7155,3,4,3000,0,,13,4,,0
