state,city,organisation,roomtype,currency,currency,mealplan,mealplan,hoteltariffs_id,seasons_id,roomtypes_id,currencies_id,currencies_pt_id,cost_single,cost_single_pt,cost_single_ac,cost_single_ac_pt,cost_double,cost_double_pt,cost_double_ac,cost_double_ac_pt,nett,nett_pt,mealplans_id,mealplans_pt_id,freetransfer,extrabed,extrabed_pt,seasons_id,addressbook_id,fromdate,todate,frompax,to_pax,git,servicecharges,tac,tac_pt,taconmealplan,taconmealplan_pt,servicechargesonplan,closed,tl_discount,tl_discountabove,tl_freeabove,tl_halfdouble,extrabedcost,policyonescorts_id,dayoftheweek,extrabedpercentage,luxtax,luxtaxonpt,exptax,salestax,salestaxinclusive,default_roomtypes_id,default_ac,exptax_notapplicable,salestaxinclusive_pt,SpecialPeriod,Notes,AgentCommPerc,roomtype
Goa,Goa,The Bay Agonda,Sea View Villa,Indian Rupee,Indian Rupee,Bed & breakfast,,432018,14955,358,13,13,,,7250,,,,7250,,1,0,2,,0,1180,,14955,2953,2019-01-11T00:00:00,2019-02-28T00:00:00,1,15,0,0,0,,0,0,0,0,0,0,0,0,0,,127,0,11,0,9,0,0,358,1,0,0,,,,Sea View Villa
Goa,Goa,The Bay Agonda,River View Cottage,Indian Rupee,Indian Rupee,Bed & breakfast,,432019,14956,754,13,13,,,4950,,,,4950,,1,0,2,,0,1180,,14956,2953,2019-03-01T00:00:00,2019-05-31T00:00:00,1,15,0,0,0,,0,0,0,0,0,0,0,0,0,,127,0,11,0,9,0,0,358,1,0,0,,,,River View Cottage
Goa,Goa,The Bay Agonda,Sea View Villa,Indian Rupee,Indian Rupee,Bed & breakfast,,432020,14956,358,13,13,,,6150,,,,6150,,1,0,2,,0,1180,,14956,2953,2019-03-01T00:00:00,2019-05-31T00:00:00,1,15,0,0,0,,0,0,0,0,0,0,0,0,0,,127,0,11,0,9,0,0,358,1,0,0,,,,Sea View Villa
Kerala,Alleppey,Emerald Isle,Heritage Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432081,14973,185,13,13,,,5900,,,,5900,,1,0,2,,0,2350,,14973,2308,2019-01-16T00:00:00,2019-04-30T00:00:00,1,10,0,,,,0,0,0,0,,,,0,,,127,,,0,8.7,,0,185,1,0,,,,,Heritage Room
Kerala,Alleppey,Emerald Isle,Luxury Cottage,Indian Rupee,Indian Rupee,Bed & breakfast,,432082,14973,197,13,13,,,8100,,,,8100,,1,0,2,,0,2350,,14973,2308,2019-01-16T00:00:00,2019-04-30T00:00:00,1,10,0,,,,0,0,0,0,,,,0,,,127,,,0,8.7,,0,185,1,0,,,,,Luxury Cottage
Kerala,Alleppey,Emerald Isle,Mini Suite,Indian Rupee,Indian Rupee,Bed & breakfast,,432083,14973,147,13,13,,,7300,,,,7300,,1,0,2,,0,2350,,14973,2308,2019-01-16T00:00:00,2019-04-30T00:00:00,1,10,0,,,,0,0,0,0,,,,0,,,127,,,0,8.7,,0,185,1,0,,,,,Mini Suite
Kerala,Alleppey,Emerald Isle,Venice Heritage,Indian Rupee,Indian Rupee,Bed & breakfast,,432084,14973,736,13,13,,,6700,,,,6700,,1,0,2,,0,2350,,14973,2308,2019-01-16T00:00:00,2019-04-30T00:00:00,1,10,0,,,,0,0,0,0,,,,0,,,127,,,0,8.7,,0,185,1,0,,,,,Venice Heritage
Goa,Goa,Summertime,Suite,Indian Rupee,Indian Rupee,Bed & breakfast,Room only,432094,14979,9,13,13,,,9100,,,,9100,,0,0,2,1,0,4000,0,14979,3008,2019-06-01T00:00:00,2019-09-30T00:00:00,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,127,0,0,0,0,0,0,9,1,0,0,,,,Suite
Kerala,Meppadi,Aranyakam,Deluxe Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432149,15028,10,13,13,5250,,,,5250,,,,1,0,2,,0,1200,,15028,2333,2019-01-11T00:00:00,2019-03-31T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,,0,,,1,10,0,0,,,,,Deluxe Room
Kerala,Meppadi,Aranyakam,Suite,Indian Rupee,Indian Rupee,Bed & breakfast,,432150,15028,9,13,13,5750,,,,5750,,,,1,0,2,,0,1200,,15028,2333,2019-01-11T00:00:00,2019-03-31T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,,0,,,1,10,0,0,,,,,Suite
Kerala,Meppadi,Aranyakam,Tree House - Minivet,Indian Rupee,Indian Rupee,Bed & breakfast,,432151,15028,829,13,13,7500,,,,7500,,,,1,0,2,,0,2000,,15028,2333,2019-01-11T00:00:00,2019-03-31T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,,0,,,1,10,0,0,,,,,Tree House - Minivet
Kerala,Meppadi,Aranyakam,Tree House - Hornbill,Indian Rupee,Indian Rupee,Bed & breakfast,,432152,15028,830,13,13,8250,,,,8250,,,,1,0,2,,0,2000,,15028,2333,2019-01-11T00:00:00,2019-03-31T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,,0,,,1,10,0,0,,,,,Tree House - Hornbill
Madhya Pradesh,Khajuraho,Ramada Khajuraho,Superior Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432155,15030,25,13,13,,,2250,,,,2250,,0,0,2,,0,800,,15030,2638,2019-04-01T00:00:00,2019-09-30T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,10,1,8.7,,0,25,1,0,,,,,Superior Room
Madhya Pradesh,Khajuraho,Ramada Khajuraho,Deluxe Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432156,15030,10,13,13,,,2750,,,,2750,,0,0,2,,0,800,,15030,2638,2019-04-01T00:00:00,2019-09-30T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,10,1,8.7,,0,25,1,0,,,,,Deluxe Room
Kerala,Kovalam,The Travancore Heritage,Heritage Premium,Indian Rupee,Indian Rupee,Bed & breakfast,,432191,15043,372,13,13,,,9000,,,,10000,,1,0,2,,0,1700,,15043,2053,2019-01-16T00:00:00,2019-03-31T00:00:00,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,0,0,0,0,0,0,0,1,0,0,,,,Heritage Premium
Kerala,Kovalam,The Travancore Heritage,Heritage Home,Indian Rupee,Indian Rupee,Bed & breakfast,,432192,15043,0,13,13,,,5800,,,,6800,,1,0,2,,0,1500,,15043,2053,2019-01-16T00:00:00,2019-03-31T00:00:00,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,0,0,0,0,0,0,0,1,0,0,,,,Heritage Home
Kerala,Kovalam,The Travancore Heritage,Beach Grove,Indian Rupee,Indian Rupee,Bed & breakfast,,432193,15043,375,13,13,,,5800,,,,6800,,1,0,2,,0,1500,,15043,2053,2019-01-16T00:00:00,2019-03-31T00:00:00,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,0,0,0,0,0,0,0,1,0,0,,,,Beach Grove
Kerala,Kovalam,The Travancore Heritage,Pool Mansion,Indian Rupee,Indian Rupee,Bed & breakfast,,432194,15043,373,13,13,,,15500,,,,17500,,1,0,2,,0,2000,,15043,2053,2019-01-16T00:00:00,2019-03-31T00:00:00,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,0,0,0,0,0,0,0,1,0,0,,,,Pool Mansion
Kerala,Kovalam,The Travancore Heritage,Premium Mansion Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432195,15043,482,13,13,,,7500,,,,8500,,1,0,2,,0,1700,,15043,2053,2019-01-16T00:00:00,2019-03-31T00:00:00,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,0,0,0,0,0,0,0,1,0,0,,,,Premium Mansion Room
Kerala,Kovalam,The Travancore Heritage,Premium Suite,Indian Rupee,Indian Rupee,Bed & breakfast,,432196,15043,483,13,13,,,10500,,,,12000,,1,0,2,,0,1800,,15043,2053,2019-01-16T00:00:00,2019-03-31T00:00:00,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,0,0,0,0,0,0,0,1,0,0,,,,Premium Suite
Rajasthan,Chandelao,Chandelao Garh,Standard Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432212,15053,18,13,13,,,3300,,,,3300,,0,0,2,,0,1000,,15053,868,2019-04-01T00:00:00,2019-09-30T00:00:00,1,15,0,0,0,,0,0,0,0,50,1,10,0,0,2,127,0,10,0,9,,1,18,1,0,0,,,,Standard Room
